Data	Último	Abertura	Máxima	Mínima	Vol.	Var%	MÊS
set/08	79,45	77,75	80,38	75,89	-	2,68%	9
out/08	85,63	79,2	87,88	78,95	-	7,78%	10
nov/08	86,52	85,81	88,46	83,9	-	1,04%	11
dez/08	81,15	86,42	87,7	77,69	-	-6,21%	12
jan/09	85,83	81,18	86,81	80,85	-	5,77%	1
fev/09	88,17	86,08	88,49	84,47	-	2,73%	2
mar/09	85,51	88,58	89,62	82,63	-	-3,02%	3
abr/09	84,82	85,53	86,87	83,73	-	-0,81%	4
mai/09	79,23	84,72	84,87	79,18	-	-6,59%	5
jun/09	80,16	79,35	81,47	78,33	-	1,17%	6
jul/09	78,35	80,12	80,89	78,22	-	-2,26%	7
ago/09	78,17	78,25	79,51	77,43	-	-0,23%	8
set/09	76,65	78,11	78,94	75,83	-	-1,94%	9
out/09	76,3	76,65	77,47	74,94	-	-0,46%	10
nov/09	74,78	76,37	76,82	74,17	-	-1,99%	11
dez/09	77,86	74,71	78,45	74,27	-	4,12%	12
jan/10	79,46	77,92	79,5	76,6	-	2,05%	1
fev/10	80,36	79,46	81,34	78,68	-	1,13%	2
mar/10	81,07	80,42	82,24	79,51	-	0,88%	3
abr/10	81,87	81,04	82,71	80,03	-	0,99%	4
mai/10	86,59	81,84	87,46	81,83	-	5,77%	5
jun/10	86,02	86,58	88,71	85,09	-	-0,66%	6
jul/10	81,54	86,1	86,26	81,46	-	-5,21%	7
ago/10	83,2	81,5	83,56	80,08	-	2,04%	8
set/10	78,72	83,09	83,22	78,41	-	-5,38%	9
out/10	77,27	78,8	78,83	76,14	-	-1,84%	10
nov/10	81,19	76,97	81,44	75,63	-	5,07%	11
dez/10	79,03	81,26	81,36	78,78	-	-2,66%	12
jan/11	77,73	79,14	81,31	77,54	-	-1,64%	1
fev/11	76,89	77,61	78,87	76,76	-	-1,08%	2
mar/11	75,86	76,86	77,38	75,34	-	-1,34%	3
abr/11	72,93	76,05	76,61	72,83	-	-3,86%	4
mai/11	74,64	72,99	76,37	72,7	-	2,34%	5
jun/11	74,3	74,43	76,02	73,51	-	-0,46%	6
jul/11	73,9	74,45	76,72	73,42	-	-0,54%	7
ago/11	74,12	73,81	75,42	73,45	-	0,30%	8
set/11	78,55	74,17	78,86	74,15	-	5,98%	9
out/11	76,17	79,02	79,84	74,72	-	-3,03%	10
nov/11	78,38	76,56	79,7	76,46	-	2,90%	11
dez/11	80,18	78,33	80,85	77,97	-	2,30%	12
jan/12	79,29	80,28	81,78	78,74	-	-1,11%	1
fev/12	78,74	79,32	80,12	78,09	-	-0,69%	2
mar/12	79	78,77	80,74	78,63	-	0,33%	3
abr/12	78,78	78,89	80,18	78,64	-	-0,28%	4
mai/12	83,04	78,78	83,22	78,6	-	5,41%	5
jun/12	81,63	83,07	83,54	81,19	-	-1,70%	6
jul/12	82,64	81,56	84,1	81,53	-	1,24%	7
ago/12	81,21	82,7	83,51	80,96	-	-1,73%	8
set/12	79,94	81,29	81,67	78,6	-	-1,56%	9
out/12	79,92	79,95	80,33	78,94	-	-0,03%	10
nov/12	80,15	79,95	81,45	79,86	-	0,29%	11
dez/12	79,77	80,24	80,66	79,01	-	-0,47%	12
jan/13	79,21	79,69	80,87	79,13	-	-0,70%	1
fev/13	81,95	79,13	82	78,92	-	3,46%	2
mar/13	83,22	81,92	83,3	81,78	-	1,55%	3
abr/13	81,75	83,05	83,49	81,6	-	-1,77%	4
mai/13	83,26	81,71	84,5	81,33	-	1,85%	5
jun/13	83,14	83,32	83,38	80,5	-	-0,14%	6
jul/13	81,45	83,18	84,75	81,41	-	-2,03%	7
ago/13	82,09	81,66	82,49	80,75	-	0,79%	8
set/13	80,22	82,05	82,67	80,03	-	-2,28%	9
out/13	80,19	80,27	80,75	79	-	-0,04%	10
nov/13	80,68	80,23	81,48	80,25	-	0,61%	11
dez/13	80,03	80,66	80,99	79,69	-	-0,81%	12
jan/14	81,31	80,21	81,39	80,08	-	1,60%	1
fev/14	79,69	81,28	81,32	79,69	-	-1,99%	2
mar/14	80,1	79,9	80,35	79,27	-	0,51%	3
abr/14	79,47	80,1	80,6	79,33	-	-0,79%	4
mai/14	80,37	79,52	80,58	78,91	-	1,13%	5
jun/14	79,78	80,36	81,02	79,76	-	-0,73%	6
jul/14	81,46	79,79	81,57	79,74	-	2,11%	7
ago/14	82,75	81,44	82,75	81,19	-	1,58%	8
set/14	85,94	82,77	86,22	82,67	-	3,85%	9
out/14	86,92	85,92	87,13	84,47	-	1,14%	10
nov/14	88,36	87,08	88,44	86,88	-	1,66%	11
dez/14	90,27	88,16	90,33	87,63	-	2,16%	12
jan/15	94,8	90,36	95,48	90,33	-	5,02%	1
